Year,Month,Coastal Avg,Middle Avg,Northern Avg
1960,1,27.16612903,26.13508065,27.63346774
1960,2,27.85724138,28.42931034,29.65818966
1960,3,27.65516129,27.94032258,30.50241935
1960,4,27.19766667,27.06958333,30.16125
1960,5,27.07806452,27.27822581,29.17258065
1960,6,25.88933333,25.70458333,26.79625
1960,7,24.97354839,24.93427419,25.90040323
1960,8,24.74451613,24.80887097,26.06129032
1960,9,25.51733333,25.5425,26.15625
1960,10,26.25516129,25.81895161,27.4108871
1960,11,27.28866667,26.68958333,27.85833333
1960,12,27.13774194,26.41653226,27.47137097
1961,1,27.07096774,26.95080645,27.46572581
1961,2,27.74,28.27410714,28.50491071
1961,3,28.32451613,29.41854839,30.73548387
1961,4,27.57366667,27.84666667,29.87916667
1961,5,27.85419355,27.40927419,29.0266129
1961,6,26.01,25.56166667,26.52041667
1961,7,25.03709677,24.49959677,25.5766129
1961,8,24.09032258,23.96854839,25.40443548
1961,9,24.81733333,24.88833333,25.67666667
1961,10,26.47354839,26,27.88306452
1961,11,27.21766667,26.47458333,28.17708333
1961,12,27.07258065,25.96895161,26.66612903
1962,1,27.4816129,26.85806452,26.85846774
1962,2,28.075,28.53616071,29.39508929
1962,3,27.73806452,28.10443548,30.92862903
1962,4,27.95433333,27.66791667,30.00458333
1962,5,27.29290323,26.6266129,28.66532258
1962,6,25.52433333,24.94208333,26.23833333
1962,7,25.70806452,25.03387097,26.02217742
1962,8,24.36064516,24.24193548,25.12983871
1962,9,24.76633333,25.05708333,25.64208333
1962,10,26.36870968,25.98951613,27.03185484
1962,11,27.01533333,26.41875,28.00416667
1962,12,27.20064516,25.83064516,26.43333333
1963,1,27.39064516,26.32419355,27.76330645
1963,2,27.46642857,27.69017857,30.22321429
1963,3,28.05516129,27.61330645,29.91330645
1963,4,27.84733333,27.63791667,29.66083333
1963,5,27.45451613,27.00967742,28.47137097
1963,6,26.679,25.97666667,27.42125
1963,7,25.7016129,25.59395161,26.30362903
1963,8,25.93354839,25.43467742,25.86572581
1963,9,25.91666667,25.14375,26.39958333
1963,10,26.58612903,26.11491935,26.95967742
1963,11,27.29666667,26.57,26.9375
1963,12,27.44233871,26.46774194,26.56209677
1964,1,27.15193548,25.30483871,27.31774194
1964,2,28.15896552,28.24034483,29.25560345
1964,3,28.30645161,28.43064516,30.89032258
1964,4,27.91533333,27.82933333,30.15166667
1964,5,27.17322581,26.41806452,28.7891129
1964,6,25.93333333,25.81533333,26.63291667
1964,7,24.86129032,24.4216129,25.86895161
1964,8,24.69548387,24.1783871,25.29919355
1964,9,24.80233333,24.86933333,25.38291667
1964,10,25.42903226,25.47741935,27.15403226
1964,11,26.672,26.09333333,27.79041667
1964,12,26.72096774,25.74709677,27.47540323
1965,1,26.71225806,26.55290323,27.23669355
1965,2,27.2,27.62785714,29.69910714
1965,3,27.68774194,28.12516129,30.96895161
1965,4,27.61133333,27.55533333,30.125
1965,5,27.39483871,27.05612903,28.37016129
1965,6,26.07133333,25.78366667,26.58458333
1965,7,25.09,25.10677419,26.25645161
1965,8,24.92701613,24.7783871,25.60080645
1965,9,25.50366667,25.43633333,25.94375
1965,10,26.60516129,26.46612903,27.45120968
1965,11,27.52,27.22833333,27.5025
1965,12,27.13258065,25.61258065,26.14677419
1966,1,27.21129032,27.01741935,27.35685484
1966,2,27.82285714,28.15821429,29.03571429
1966,3,28.17935484,28.4716129,31.07137097
1966,4,27.75966667,27.995,30.29041667
1966,5,27.74677419,27.52645161,29.33225806
1966,6,26.105,25.97333333,26.69125
1966,7,26.40322581,25.79225806,26.50967742
1966,8,25.1183871,24.91612903,25.73266129
1966,9,25.26966667,25.45533333,25.92
1966,10,26.63064516,26.32032258,27.08830645
1966,11,27.37366667,27.02733333,28.02666667
1966,12,27.57935484,26.73129032,26.99112903
1967,1,26.91943548,25.46677419,26.61505376
1967,2,28.16607143,28.27535714,29.80238095
1967,3,27.65322581,27.85322581,30.18978495
1967,4,27.83766667,27.68466667,29.26444444
1967,5,27.37709677,26.94516129,28.34462366
1967,6,25.72566667,25.645,26.33333333
1967,7,24.75580645,24.63322581,25.45
1967,8,24.16258065,24.27967742,25.08064516
1967,9,24.648,24.951,25.53277778
1967,10,25.91354839,25.84870968,27.04247312
1967,11,27.004,26.722,27.6
1967,12,26.99322581,26.33032258,27.22043011
1968,1,26.50193548,25.91741935,26.65645161
1968,2,27.70724138,28.1037931,29.29655172
1968,3,27.06451613,27.82322581,29.82903226
1968,4,27.69133333,27.252,28.55722222
1968,5,27.31064516,27.05516129,28.42204301
1968,6,26.213,25.90933333,26.40166667
1968,7,25.74419355,25.40612903,25.82311828
1968,8,25.50645161,25.35870968,25.97526882
1968,9,25.53733333,25.212,25.62777778
1968,10,26.50096774,26.15870968,27.24032258
1968,11,27.03533333,26.43833333,27.59388889
1968,12,27.25806452,26.6883871,27.84139785
1969,1,27.34354839,26.83741935,27.32526882
1969,2,28.66214286,28.62857143,30.89107143
1969,3,28.4483871,28.43,31.35376344
1969,4,28.64433333,28.257,30.01666667
1969,5,27.84258065,27.71193548,29.23817204
1969,6,26.483,26.18033333,27.70722222
1969,7,24.86612903,24.93193548,26.1688172
1969,8,24.80967742,24.77258065,25.42849462
1969,9,25.10033333,25.28833333,25.835
1969,10,26.02354839,25.84290323,26.82473118
1969,11,27.229,26.43966667,26.66555556
1969,12,27.58193548,26.8883871,27.29354839
1970,1,10.79806452,27.04709677,28.1891129
1970,2,27.54642857,28.64821429,30.02053571
1970,3,28.26225806,28.34354839,31.88427419
1970,4,27.87866667,28.21466667,31.7325
1970,5,27.40193548,26.94258065,28.71209677
1970,6,26.32733333,26.42533333,28.28541667
1970,7,25.36709677,24.99387097,26.25685484
1970,8,24.56096774,25.02,25.36169355
1970,9,20.14933333,25.247,25.47083333
1970,10,26.83129032,26.36129032,28.01532258
1970,11,27.24833333,26.641,28.13375
1970,12,27.27806452,26.12322581,27.0516129
1971,1,27.0383871,26.20387097,26.83185484
1971,2,27.31178571,27.67785714,29.79732143
1971,3,27.29677419,27.75258065,30.72943548
1971,4,27.821,26.881,30.17625
1971,5,27.69096774,27.18258065,28.89314516
1971,6,25.91366667,25.70866667,26.93375
1971,7,25.24580645,24.89741935,25.64112903
1971,8,24.39096774,24.38580645,25.28669355
1971,9,25.10066667,24.886,25.71458333
1971,10,26.34967742,25.91709677,27.23104839
1971,11,27.22533333,26.85933333,27.89958333
1971,12,26.55,25.58290323,26.90282258
1972,1,27.17903226,26.84967742,27.31290323
1972,2,27.94,27.34448276,30.21810345
1972,3,27.88258065,27.84354839,30.94717742
1972,4,27.581,27.27666667,29.67375
1972,5,27.38451613,27.00387097,28.625
1972,6,26.123,25.66866667,26.84416667
1972,7,25.2416129,25.36096774,26.54435484
1972,8,24.16645161,24.88193548,25.95766129
1972,9,25.29033333,25.81833333,26.36916667
1972,10,26.94451613,26.4316129,27.30524194
1972,11,27.66633333,27.225,27.32666667
1972,12,27.72193548,26.61903226,27.50403226
1973,1,27.92741935,27.25483871,28.35766129
1973,2,29.01392857,29.32392857,30.97053571
1973,3,28.58806452,29.10806452,31.63145161
1973,4,28.55333333,28.43533333,31.445
1973,5,27.81516129,27.96387097,29.58709677
1973,6,26.52166667,26.157,27.41583333
1973,7,25.82741935,25.72193548,26.81169355
1973,8,25.4483871,25.38548387,26.62096774
1973,9,25.95933333,25.50333333,26.01958333
1973,10,26.91677419,26.46516129,28.06290323
1973,11,27.73466667,26.961,27.6275
1973,12,27.24806452,26.41677419,27.36532258
1974,1,26.89483871,26.0383871,26.73709677
1974,2,28.07857143,28.39428571,29.25714286
1974,3,28.26516129,28.14,31.11572581
1974,4,28.04033333,27.88333333,30.80541667
1974,5,26.95290323,26.83870968,29.29395161
1974,6,25.72133333,26.04133333,27.73291667
1974,7,25.27548387,25.06903226,25.59153226
1974,8,25.10387097,25.31193548,25.83024194
1974,9,24.99433333,25.01866667,25.5025
1974,10,26.0016129,26.14741935,11.90282258
1974,11,27.08033333,26.747,27.14375
1974,12,26.60903226,25.83354839,25.94233871
1975,1,26.63322581,26.08806452,26.08104839
1975,2,27.48892857,27.98678571,29.14910714
1975,3,27.65903226,28.39741935,30.86975806
1975,4,27.54141667,22.94666667,29.865
1975,5,27.05354839,26.95612903,28.56330645
1975,6,25.91133333,26.156,27.32791667
1975,7,25.00387097,25.07645161,25.50120968
1975,8,23.72580645,24.43903226,25.75483871
1975,9,24.684,25.19366667,25.73708333
1975,10,26.14677419,26.06193548,27.32016129
1975,11,26.76433333,26.86533333,27.85041667
1975,12,26.57548387,26.35806452,27.18870968
1976,1,26.51774194,26.47645161,27.05846774
1976,2,27.03482759,27.83862069,29.47198276
1976,3,27.63741935,28.20548387,30.87016129
1976,4,28.03666667,-11.06333333,31.06
1976,5,27.44677419,27.70645161,29.52903226
1976,6,20.775,25.53666667,26.185
1976,7,24.50096774,24.91419355,26.21572581
1976,8,23.95096774,24.82774194,25.70483871
1976,9,24.80533333,25.54433333,26.49166667
1976,10,25.67387097,25.68548387,26.43064516
1976,11,26.60133333,26.28933333,27.29666667
1976,12,26.87967742,26.11709677,26.24301075
1977,1,26.93483871,26.96354839,27.91451613
1977,2,27.92,28.61214286,29.23303571
1977,3,28.27322581,29.37387097,31.07983871
1977,4,28.11333333,28.95133333,31.82625
1977,5,27.38387097,27.86096774,29.27459677
1977,6,26.06833333,26.26533333,27.34333333
1977,7,25.4,25.38645161,26.43104839
1977,8,24.44677419,24.9,25.63709677
1977,9,25.589,26.03633333,26.18916667
1977,10,26.54677419,26.45903226,27.41653226
1977,11,27.43,27.37466667,27.57791667
1977,12,26.86677419,12.77056452,26.17419355
1978,1,27.56645161,27.94612903,27.6858871
1978,2,28.1925,28.97678571,30.58794643
1978,3,27.84870968,28.09419355,30.77782258
1978,4,27.21933333,27.54166667,29.32791667
1978,5,27.15806452,27.36387097,28.43346774
1978,6,25.72133333,25.89366667,27.04583333
1978,7,24.56806452,24.31580645,25.67137097
1978,8,24.61870968,25.34693548,26.15
1978,9,25.29966667,25.38366667,26.28375
1978,10,26.29032258,26.22354839,27.38951613
1978,11,27.12933333,26.53333333,27.41666667
1978,12,27.40870968,26.91741935,27.41895161
1979,1,27.97064516,27.70032258,28.525
1979,2,28.22714286,28.88607143,29.66116071
1979,3,28.15774194,28.99741935,31.78629032
1979,4,28.093,28.75666667,31.54875
1979,5,27.28290323,27.29709677,28.15524194
1979,6,24.441,26.185,26.6325
1979,7,25.38290323,25.45709677,25.92862903
1979,8,25.67129032,25.73193548,26.36169355
1979,9,26.10466667,26.04533333,26.31708333
1979,10,26.53709677,26.82129032,27.78991935
1979,11,27.14333333,27.05266667,28.44458333
1979,12,27.23193548,26.1083871,26.53467742
1980,1,27.55741935,27.64903226,28.725
1980,2,28.05310345,28.53310345,30.39051724
1980,3,28.02548387,28.51516129,32.02217742
1980,4,28.15633333,28.78866667,31.67208333
1980,5,26.89354839,27.40612903,29.29879032
1980,6,26.46766667,26.545,27.86166667
1980,7,25.14806452,25.40419355,26.85645161
1980,8,25.18064516,25.24774194,25.94112903
1980,9,25.952,26.01266667,26.8
1980,10,26.29064516,26.30516129,27.60524194
1980,11,26.887,26.80033333,27.80416667
1980,12,26.49870968,25.58064516,24.72943548
1981,1,27.12483871,26.02768817,15.05846774
1981,2,28.26964286,28.39404762,30.58392857
1981,3,28.11677419,28.16935484,31.46290323
1981,4,28.27,28.02277778,30.17958333
1981,5,27.0783871,26.77284946,28.92016129
1981,6,26.543,26.11805556,27.95666667
1981,7,25.09580645,24.45134409,26.17782258
1981,8,25.01814516,24.74016129,24.47096774
1981,9,25.76166667,25.50055556,26.56166667
1981,10,26.84483871,26.40510753,25.36895161
1981,11,27.41733333,26.63111111,26.98
1981,12,27.90967742,27.00698925,27.57137097
1982,1,24.57096774,26.94623656,25.81774194
1982,2,28.44196429,28.53630952,29.54821429
1982,3,28.86935484,28.30483871,30.63185484
1982,4,28.2,27.79611111,30.175
1982,5,26.9391129,26.58494624,28.96491935
1982,6,26.13666667,25.87833333,27.33875
1982,7,24.62645161,24.70672043,26.72540323
1982,8,24.14774194,23.97822581,25.8858871
1982,9,25.16791667,25.37527778,25.65875
1982,10,26.37177419,25.95456989,27.45967742
1982,11,27.22666667,26.43527778,27.30583333
1982,12,27.47177419,26.43467742,26.59072581
1983,1,26.02620968,25.99758064,25.27298387
1983,2,28.32142857,29.67928571,30.69151786
1983,3,29.30451613,30.23870968,32.22862903
1983,4,28.86266667,28.92583333,31.07958333
1983,5,28.16572581,28.09032258,29.51693548
1983,6,26.18166667,25.71083333,27.27708333
1983,7,24.92782258,25.08736559,24.62096774
1983,8,24.96129032,24.97795699,26.54596774
1983,9,25.738,24.43111111,26.94222222
1983,10,27.09258065,26.41478495,26.70483871
1983,11,27.65041667,27.03305556,28.13708333
1983,12,27.14290323,26.51424731,24.8858871
1984,1,27.73064516,27.45268817,27.42862903
1984,2,28.44482759,27.37586207,28.33318966
1984,3,28.65612903,28.27967742,31.03225806
1984,4,28.10066667,27.86111111,30.93333333
1984,5,27.73774194,26.99005376,27.06290323
1984,6,26.68791667,25.50375,23.10625
1984,7,26.09233871,24.96290323,23.53951613
1984,8,25.54193548,25.42715054,26.57419355
1984,9,25.603,25.20944445,26.25888889
1984,10,26.61935484,26.10672043,27.75201613
1984,11,27.497,26.96416667,28.72708333
1984,12,27.23677419,25.67956989,25.96532258
1985,1,27.3483871,26.16032258,28.35887097
1985,2,28.03035714,27.66178571,29.14464286
1985,3,21.63709677,27.24322581,30.94959677
1985,4,25.58166667,27.72388889,28.15333333
1985,5,25.92150538,26.56451613,29.63024194
1985,6,25.14833333,25.54444444,27.68416667
1985,7,24.60241935,24.66290323,25.6625
1985,8,24.95806452,25.10887097,25.7858871
1985,9,26.1575,25.01638889,25.88222222
1985,10,27.03870968,26.24731183,27.98172043
1985,11,27.63041667,26.76333333,28.50777778
1985,12,21.73010753,25.22930108,26.01236559
1986,1,25.19516129,26.81344086,13.56008065
1986,2,28.01142857,26.59613095,30.66026786
1986,3,27.80322581,27.17741936,31.58508065
1986,4,28.52533333,28.356,31.50583333
1986,5,27.71322581,27.04543011,30.10241935
1986,6,26.14233333,25.70305556,27.42291667
1986,7,24.82056452,24.55860215,25.97540323
1986,8,24.52,24.62849462,25.89274194
1986,9,25.413,25.23888889,26.12416667
1986,10,26.19798387,25.59112903,27.55403226
1986,11,24.19458333,26.40166667,27.00791667
1986,12,26.0716129,25.61532258,25.54758065
1987,1,27.59677419,27.74784946,28.32137097
1987,2,28.08321429,28.18928571,30.88303571
1987,3,28.24870968,28.34301075,31.35645161
1987,4,29.26133333,28.92166667,32.635
1987,5,28.24903226,27.80806452,31.19274194
1987,6,21.24033333,26.58277778,27.90833333
1987,7,26.15548387,25.97311828,27.07056452
1987,8,25.93774194,25.60295699,26.50564516
1987,9,25.981,26.04444444,27.11083333
1987,10,26.5716129,26.44569892,27.85604839
1987,11,27.84733333,27.87638889,28.61958333
1987,12,27.13419355,26.68037634,27.35725806
1988,1,27.32548387,27.06075269,27.53064516
1988,2,28.49310345,29.46724138,30.36637931
1988,3,28.07322581,28.55456989,32.73306452
1988,4,28.29833333,28.31305556,31.39708333
1988,5,27.89596774,27.84086021,30.59032258
